Sub,Crse,Sec,Day,Time,Room,Instructor
ART,480,12, ,TBA,TBA,"Li, L (P)"
ART,480,13, ,TBA,TBA,"Doyle, M (P)"
ART,480,14, ,TBA,TBA,"Petrikovsky, H (P)"
ART,480,15, ,TBA,TBA,"Rahmanifar, A (P)"
ART,480,16, ,TBA,TBA,TBA
ART,480,17, ,TBA,TBA,"Greene, R (P)"
ART,480,18, ,TBA,TBA,"Kim, S (P)"
ART,480,19, ,TBA,TBA,"Li, L (P)"
ART,480,20, ,TBA,TBA,"Greene, R (P)"
ART,480,21, ,TBA,TBA,"Li, L (P)"
ART,480,22, ,TBA,TBA,"Greene, R (P)"
ART,480,23, ,TBA,TBA,TBA
ART,480,24, ,TBA,TBA,"Drew, T (P)"
ART,485,01,MW,04:00 pm-06:45 pm,FAIC 323,"Li, L (P), Greene, R , Rahmanifar, A"
ART,485,01,MW,04:00 pm-06:45 pm,FAIC 122,"Li, L (P), Greene, R , Rahmanifar, A"
ART,485,01,MW,04:00 pm-06:45 pm,FAIC 247,"Li, L (P), Greene, R , Rahmanifar, A"
ART,486,01, ,TBA,TBA,"Doyle, M (P)"
ART,487,01, ,TBA,TBA,"Chen, T (P)"
ART,490,01, ,TBA,TBA,"Rahmanifar, A (P)"
ART,490,02, ,TBA,TBA,"Chen, T (P)"
ART,490,03, ,TBA,TBA,"Doyle, M (P)"
ART,490,04, ,TBA,TBA,"Liu, Q (P)"
AST,214,01,TR,09:30 am-10:45 am,PLANET PLT,"Kerr, M (P)"
AST,214,01A,T,11:00 am-12:00 pm,PLANET PLT,"Kerr, M (P)"
AST,214,01B,R,11:00 am-12:00 pm,PLANET PLT,"Kerr, M (P)"
AST,380,01, ,TBA,TBA,TBA
AST,480,01, ,TBA,TBA,TBA
AST,490,01, ,TBA,TBA,TBA
AST,495,01, ,TBA,TBA,TBA
BIO,120,01,MWF,11:00 am-11:50 am,SCIENC 231,"Hulvey, J (P)"
BIO,120,01,M,02:00 pm-04:50 pm,SCIENC 331,"Hulvey, J (P)"
BIO,140,01,MWF,09:00 am-09:50 am,SCIENC 104,"Laux, D (P)"
BIO,140,01A,W,02:00 pm-04:50 pm,SCIENC 334,"Laux, D (P)"
BIO,140,01B,R,09:30 am-12:20 pm,SCIENC 334,"Murdoch, B (P)"
BIO,180,01, ,TBA,TBA,TBA
BIO,200,01,TR,09:30 am-10:45 am,SCIENC 416,"Wasielewski, T (P)"
BIO,200,02,TR,11:00 am-12:15 pm,SCIENC 416,"Wasielewski, T (P)"
BIO,204,01,TR,11:00 am-12:15 pm,SCIENC 320,"Lucin, K (P)"
BIO,204,02,TR,12:30 pm-01:45 pm,SCIENC 320,"Lucin, K (P)"
BIO,204,03,TR,08:00 am-09:15 am,SCIENC 320,"Pasini, J (P)"
BIO,204,04,TR,09:30 am-10:45 am,SCIENC 320,"Pasini, J (P)"
BIO,204,05,M,04:00 pm-06:45 pm,SCIENC 320,"Jacobs, M (P)"
BIO,204,06,TR,05:30 pm-06:45 pm,SCIENC 320,"Jacobs, M (P)"
BIO,210,01,MWF,10:00 am-10:50 am,SCIENC 134,"Groth, A (P)"
BIO,222,01,MWF,11:00 am-11:50 am,SCIENC 416,"Connolly, B (P)"
BIO,222,01,R,09:30 am-12:20 pm,SCIENC 318,"Connolly, B (P)"
BIO,230,01,MWF,11:00 am-11:50 am,SCIENC 134,"Groth, A (P)"
BIO,230,01,M,02:00 pm-04:50 pm,SCIENC 335,"Groth, A (P)"
BIO,240,02,MWF,10:00 am-10:50 am,SCIENC 231,"Mattingly, B (P)"
BIO,240,02,T,11:00 am-01:50 pm,SCIENC 331,"Mattingly, B (P)"
BIO,280,01, ,TBA,TBA,"Lucin, K (P)"
